school_year,antigen,age,public_health_unit,coverage,year_of_birth
2013-2014,Diphtheria,7,Algoma Public Health,89.3,2006
2013-2014,Diphtheria,17,Algoma Public Health,88.2,1996
2013-2014,Diphtheria,7,Brant County Health Unit,90.2,2006
2013-2014,Diphtheria,17,Brant County Health Unit,82.4,1996
2013-2014,Diphtheria,7,Chatham-Kent Public Health,90.0,2006
2013-2014,Diphtheria,17,Chatham-Kent Public Health,88.1,1996
2013-2014,Diphtheria,7,City of Hamilton Public Health Services,80.0,2006
2013-2014,Diphtheria,17,City of Hamilton Public Health Services,17.5,1996
2013-2014,Diphtheria,7,Durham Region Health Department,95.3,2006
2013-2014,Diphtheria,17,Durham Region Health Department,83.2,1996
2013-2014,Diphtheria,7,Eastern Ontario Health Unit,89.1,2006
2013-2014,Diphtheria,17,Eastern Ontario Health Unit,72.5,1996
2013-2014,Diphtheria,7,Grey Bruce Public Health,89.3,2006
2013-2014,Diphtheria,17,Grey Bruce Public Health,86.4,1996
2013-2014,Diphtheria,7,Haldimand-Norfolk Health Unit,55.9,2006
2013-2014,Diphtheria,17,Haldimand-Norfolk Health Unit,78.9,1996
2013-2014,Diphtheria,7,"Haliburton, Kawartha, Pine Ridge District Health Unit",61.6,2006
2013-2014,Diphtheria,17,"Haliburton, Kawartha, Pine Ridge District Health Unit",69.2,1996
2013-2014,Diphtheria,7,Halton Region Public Health,67.4,2006
2013-2014,Diphtheria,17,Halton Region Public Health,69.0,1996
2013-2014,Diphtheria,7,Hastings Prince Edward Public Health,93.9,2006
2013-2014,Diphtheria,17,Hastings Prince Edward Public Health,85.9,1996
2013-2014,Diphtheria,7,Huron Perth Public Health,87.6,2006
2013-2014,Diphtheria,17,Huron Perth Public Health,90.0,1996
2013-2014,Diphtheria,7,"Kingston, Frontenac and Lennox & Addington Public Health",91.8,2006
2013-2014,Diphtheria,17,"Kingston, Frontenac and Lennox & Addington Public Health",57.2,1996
2013-2014,Diphtheria,7,Lambton Public Health,88.0,2006
2013-2014,Diphtheria,17,Lambton Public Health,77.4,1996
2013-2014,Diphtheria,7,"Leeds, Grenville & Lanark District Health Unit",80.7,2006
2013-2014,Diphtheria,17,"Leeds, Grenville & Lanark District Health Unit",61.6,1996
2013-2014,Diphtheria,7,Middlesex-London Health Unit,79.4,2006
2013-2014,Diphtheria,17,Middlesex-London Health Unit,80.0,1996
2013-2014,Diphtheria,7,Niagara Region Public Health,87.4,2006
2013-2014,Diphtheria,17,Niagara Region Public Health,79.2,1996
2013-2014,Diphtheria,7,North Bay Parry Sound District Health Unit,96.0,2006
2013-2014,Diphtheria,17,North Bay Parry Sound District Health Unit,83.0,1996
2013-2014,Diphtheria,7,Northwestern Health Unit,95.9,2006
2013-2014,Diphtheria,17,Northwestern Health Unit,89.7,1996
2013-2014,Diphtheria,7,Ontario,86.4,2006
2013-2014,Diphtheria,17,Ontario,72.2,1996
2013-2014,Diphtheria,7,Ottawa Public Health,81.5,2006
2013-2014,Diphtheria,17,Ottawa Public Health,71.3,1996
2013-2014,Diphtheria,7,Peel Public Health,91.0,2006
2013-2014,Diphtheria,17,Peel Public Health,75.2,1996
2013-2014,Diphtheria,7,Peterborough Public Health,80.5,2006
2013-2014,Diphtheria,17,Peterborough Public Health,69.1,1996
2013-2014,Diphtheria,7,Porcupine Health Unit,92.2,2006
2013-2014,Diphtheria,17,Porcupine Health Unit,88.1,1996
2013-2014,Diphtheria,7,Public Health Sudbury & Districts,85.0,2006
2013-2014,Diphtheria,17,Public Health Sudbury & Districts,78.7,1996
2013-2014,Diphtheria,7,Region of Waterloo Public Health and Paramedic Services,94.1,2006
2013-2014,Diphtheria,17,Region of Waterloo Public Health and Paramedic Services,78.3,1996
2013-2014,Diphtheria,7,Renfrew County and District Health Unit,94.8,2006
2013-2014,Diphtheria,17,Renfrew County and District Health Unit,79.6,1996
2013-2014,Diphtheria,7,Simcoe Muskoka District Health Unit,86.3,2006
2013-2014,Diphtheria,17,Simcoe Muskoka District Health Unit,73.0,1996
2013-2014,Diphtheria,7,Southwestern Public Health,84.9,2006
2013-2014,Diphtheria,17,Southwestern Public Health,87.5,1996
2013-2014,Diphtheria,7,Thunder Bay District Health Unit,92.4,2006
2013-2014,Diphtheria,17,Thunder Bay District Health Unit,88.9,1996
2013-2014,Diphtheria,7,Timiskaming Health Unit,96.2,2006
2013-2014,Diphtheria,17,Timiskaming Health Unit,92.7,1996
2013-2014,Diphtheria,7,Toronto Public Health,89.9,2006
2013-2014,Diphtheria,17,Toronto Public Health,69.8,1996
2013-2014,Diphtheria,7,Wellington-Dufferin-Guelph Public Health,69.9,2006
2013-2014,Diphtheria,17,Wellington-Dufferin-Guelph Public Health,73.7,1996
2013-2014,Diphtheria,7,Windsor-Essex County Health Unit,76.2,2006
2013-2014,Diphtheria,17,Windsor-Essex County Health Unit,45.0,1996
2013-2014,Diphtheria,7,York Region Public Health,91.2,2006
2013-2014,Diphtheria,17,York Region Public Health,77.6,1996
2013-2014,HPV,12,Algoma Public Health,63.2,2001
2013-2014,HPV,12,Brant County Health Unit,70.5,2001
2013-2014,HPV,12,Chatham-Kent Public Health,58.3,2001
2013-2014,HPV,12,City of Hamilton Public Health Services,63.4,2001
2013-2014,HPV,12,Durham Region Health Department,70.2,2001
2013-2014,HPV,12,Eastern Ontario Health Unit,68.8,2001
2013-2014,HPV,12,Grey Bruce Public Health,65.2,2001
2013-2014,HPV,12,Haldimand-Norfolk Health Unit,54.3,2001
2013-2014,HPV,12,"Haliburton, Kawartha, Pine Ridge District Health Unit",64.3,2001
2013-2014,HPV,12,Halton Region Public Health,36.8,2001
2013-2014,HPV,12,Hastings Prince Edward Public Health,58.8,2001
2013-2014,HPV,12,Huron Perth Public Health,54.3,2001
2013-2014,HPV,12,"Kingston, Frontenac and Lennox & Addington Public Health",65.3,2001
2013-2014,HPV,12,Lambton Public Health,39.2,2001
2013-2014,HPV,12,"Leeds, Grenville & Lanark District Health Unit",56.8,2001
2013-2014,HPV,12,Middlesex-London Health Unit,52.6,2001
2013-2014,HPV,12,Niagara Region Public Health,63.0,2001
2013-2014,HPV,12,North Bay Parry Sound District Health Unit,62.4,2001
2013-2014,HPV,12,Northwestern Health Unit,59.6,2001
2013-2014,HPV,12,Ontario,61.5,2001
2013-2014,HPV,12,Ottawa Public Health,57.5,2001
2013-2014,HPV,12,Peel Public Health,60.8,2001
2013-2014,HPV,12,Peterborough Public Health,60.1,2001
2013-2014,HPV,12,Porcupine Health Unit,65.2,2001
2013-2014,HPV,12,Public Health Sudbury & Districts,58.9,2001
2013-2014,HPV,12,Region of Waterloo Public Health and Paramedic Services,61.9,2001
2013-2014,HPV,12,Renfrew County and District Health Unit,56.4,2001
2013-2014,HPV,12,Simcoe Muskoka District Health Unit,68.8,2001
2013-2014,HPV,12,Southwestern Public Health,53.5,2001
2013-2014,HPV,12,Thunder Bay District Health Unit,45.9,2001
2013-2014,HPV,12,Timiskaming Health Unit,69.5,2001
2013-2014,HPV,12,Toronto Public Health,66.4,2001
2013-2014,HPV,12,Wellington-Dufferin-Guelph Public Health,62.3,2001
2013-2014,HPV,12,Windsor-Essex County Health Unit,61.9,2001
2013-2014,HPV,12,York Region Public Health,67.9,2001
2013-2014,HepB,12,Algoma Public Health,78.9,2001
2013-2014,HepB,12,Brant County Health Unit,81.2,2001
2013-2014,HepB,12,Chatham-Kent Public Health,74.0,2001
2013-2014,HepB,12,City of Hamilton Public Health Services,74.7,2001
2013-2014,HepB,12,Durham Region Health Department,75.9,2001
2013-2014,HepB,12,Eastern Ontario Health Unit,75.8,2001
2013-2014,HepB,12,Grey Bruce Public Health,77.7,2001
2013-2014,HepB,12,Haldimand-Norfolk Health Unit,73.2,2001
2013-2014,HepB,12,"Haliburton, Kawartha, Pine Ridge District Health Unit",63.1,2001
2013-2014,HepB,12,Halton Region Public Health,62.6,2001
2013-2014,HepB,12,Hastings Prince Edward Public Health,63.1,2001
2013-2014,HepB,12,Huron Perth Public Health,73.5,2001
2013-2014,HepB,12,"Kingston, Frontenac and Lennox & Addington Public Health",74.1,2001
2013-2014,HepB,12,Lambton Public Health,42.8,2001
2013-2014,HepB,12,"Leeds, Grenville & Lanark District Health Unit",63.9,2001
2013-2014,HepB,12,Middlesex-London Health Unit,64.2,2001
2013-2014,HepB,12,Niagara Region Public Health,75.1,2001
2013-2014,HepB,12,North Bay Parry Sound District Health Unit,74.3,2001
2013-2014,HepB,12,Northwestern Health Unit,71.8,2001
2013-2014,HepB,12,Ontario,71.7,2001
2013-2014,HepB,12,Ottawa Public Health,72.7,2001
2013-2014,HepB,12,Peel Public Health,66.9,2001
2013-2014,HepB,12,Peterborough Public Health,58.2,2001
2013-2014,HepB,12,Porcupine Health Unit,71.4,2001
2013-2014,HepB,12,Public Health Sudbury & Districts,68.6,2001
2013-2014,HepB,12,Region of Waterloo Public Health and Paramedic Services,76.6,2001
2013-2014,HepB,12,Renfrew County and District Health Unit,71.7,2001
2013-2014,HepB,12,Simcoe Muskoka District Health Unit,75.2,2001
2013-2014,HepB,12,Southwestern Public Health,67.1,2001
2013-2014,HepB,12,Thunder Bay District Health Unit,59.8,2001
2013-2014,HepB,12,Timiskaming Health Unit,58.7,2001
2013-2014,HepB,12,Toronto Public Health,75.0,2001
2013-2014,HepB,12,Wellington-Dufferin-Guelph Public Health,71.5,2001
2013-2014,HepB,12,Windsor-Essex County Health Unit,74.0,2001
2013-2014,HepB,12,York Region Public Health,74.8,2001
2013-2014,Hib,7,Algoma Public Health,95.5,2006
2013-2014,Hib,7,Brant County Health Unit,89.5,2006
2013-2014,Hib,7,Chatham-Kent Public Health,88.1,2006
2013-2014,Hib,7,City of Hamilton Public Health Services,81.2,2006
2013-2014,Hib,7,Durham Region Health Department,86.2,2006
2013-2014,Hib,7,Eastern Ontario Health Unit,87.0,2006
2013-2014,Hib,7,Grey Bruce Public Health,89.4,2006
2013-2014,Hib,7,Haldimand-Norfolk Health Unit,85.9,2006
2013-2014,Hib,7,"Haliburton, Kawartha, Pine Ridge District Health Unit",90.2,2006
2013-2014,Hib,7,Halton Region Public Health,86.8,2006
2013-2014,Hib,7,Hastings Prince Edward Public Health,89.6,2006
2013-2014,Hib,7,Huron Perth Public Health,89.6,2006
2013-2014,Hib,7,"Kingston, Frontenac and Lennox & Addington Public Health",91.3,2006
2013-2014,Hib,7,Lambton Public Health,86.3,2006
2013-2014,Hib,7,"Leeds, Grenville & Lanark District Health Unit",92.8,2006
2013-2014,Hib,7,Middlesex-London Health Unit,85.7,2006
2013-2014,Hib,7,Niagara Region Public Health,87.5,2006
2013-2014,Hib,7,North Bay Parry Sound District Health Unit,88.4,2006
2013-2014,Hib,7,Northwestern Health Unit,87.0,2006
2013-2014,Hib,7,Ontario,83.1,2006
2013-2014,Hib,7,Ottawa Public Health,86.9,2006
2013-2014,Hib,7,Peel Public Health,78.3,2006
2013-2014,Hib,7,Peterborough Public Health,86.7,2006
2013-2014,Hib,7,Porcupine Health Unit,89.6,2006
2013-2014,Hib,7,Public Health Sudbury & Districts,85.3,2006
2013-2014,Hib,7,Region of Waterloo Public Health and Paramedic Services,83.6,2006
2013-2014,Hib,7,Renfrew County and District Health Unit,89.8,2006
2013-2014,Hib,7,Simcoe Muskoka District Health Unit,83.9,2006
2013-2014,Hib,7,Southwestern Public Health,85.1,2006
2013-2014,Hib,7,Thunder Bay District Health Unit,84.0,2006
2013-2014,Hib,7,Timiskaming Health Unit,89.3,2006
2013-2014,Hib,7,Toronto Public Health,76.1,2006
2013-2014,Hib,7,Wellington-Dufferin-Guelph Public Health,85.3,2006
2013-2014,Hib,7,Windsor-Essex County Health Unit,85.0,2006
2013-2014,Hib,7,York Region Public Health,82.9,2006
2013-2014,MCC,7,Algoma Public Health,89.5,2006
2013-2014,MCC,7,Brant County Health Unit,90.8,2006
2013-2014,MCC,7,Chatham-Kent Public Health,88.2,2006
2013-2014,MCC,7,City of Hamilton Public Health Services,84.1,2006
2013-2014,MCC,7,Durham Region Health Department,86.9,2006
2013-2014,MCC,7,Eastern Ontario Health Unit,91.8,2006
2013-2014,MCC,7,Grey Bruce Public Health,91.3,2006
2013-2014,MCC,7,Haldimand-Norfolk Health Unit,81.5,2006
2013-2014,MCC,7,"Haliburton, Kawartha, Pine Ridge District Health Unit",88.8,2006
2013-2014,MCC,7,Halton Region Public Health,80.1,2006
2013-2014,MCC,7,Hastings Prince Edward Public Health,88.2,2006
2013-2014,MCC,7,Huron Perth Public Health,91.6,2006
2013-2014,MCC,7,"Kingston, Frontenac and Lennox & Addington Public Health",88.7,2006
2013-2014,MCC,7,Lambton Public Health,86.3,2006
2013-2014,MCC,7,"Leeds, Grenville & Lanark District Health Unit",84.6,2006
2013-2014,MCC,7,Middlesex-London Health Unit,83.7,2006
2013-2014,MCC,7,Niagara Region Public Health,88.9,2006
2013-2014,MCC,7,North Bay Parry Sound District Health Unit,89.8,2006
2013-2014,MCC,7,Northwestern Health Unit,85.4,2006
2013-2014,MCC,7,Ontario,83.5,2006
2013-2014,MCC,7,Ottawa Public Health,82.1,2006
2013-2014,MCC,7,Peel Public Health,80.7,2006
2013-2014,MCC,7,Peterborough Public Health,81.6,2006
2013-2014,MCC,7,Porcupine Health Unit,85.6,2006
2013-2014,MCC,7,Public Health Sudbury & Districts,90.5,2006
2013-2014,MCC,7,Region of Waterloo Public Health and Paramedic Services,88.1,2006
2013-2014,MCC,7,Renfrew County and District Health Unit,85.7,2006
2013-2014,MCC,7,Simcoe Muskoka District Health Unit,86.5,2006
2013-2014,MCC,7,Southwestern Public Health,89.0,2006
2013-2014,MCC,7,Thunder Bay District Health Unit,86.5,2006
2013-2014,MCC,7,Timiskaming Health Unit,94.4,2006
2013-2014,MCC,7,Toronto Public Health,77.2,2006
2013-2014,MCC,7,Wellington-Dufferin-Guelph Public Health,85.0,2006
2013-2014,MCC,7,Windsor-Essex County Health Unit,86.2,2006
2013-2014,MCC,7,York Region Public Health,83.8,2006
2013-2014,MCV4,12,Algoma Public Health,85.2,2001
2013-2014,MCV4,12,Brant County Health Unit,86.2,2001
2013-2014,MCV4,12,Chatham-Kent Public Health,78.6,2001
2013-2014,MCV4,12,City of Hamilton Public Health Services,85.5,2001
2013-2014,MCV4,12,Durham Region Health Department,87.0,2001
2013-2014,MCV4,12,Eastern Ontario Health Unit,79.7,2001
2013-2014,MCV4,12,Grey Bruce Public Health,82.0,2001
2013-2014,MCV4,12,Haldimand-Norfolk Health Unit,79.5,2001
2013-2014,MCV4,12,"Haliburton, Kawartha, Pine Ridge District Health Unit",55.3,2001
2013-2014,MCV4,12,Halton Region Public Health,67.3,2001
2013-2014,MCV4,12,Hastings Prince Edward Public Health,71.4,2001
2013-2014,MCV4,12,Huron Perth Public Health,80.0,2001
2013-2014,MCV4,12,"Kingston, Frontenac and Lennox & Addington Public Health",78.3,2001
2013-2014,MCV4,12,Lambton Public Health,49.4,2001
2013-2014,MCV4,12,"Leeds, Grenville & Lanark District Health Unit",69.9,2001
2013-2014,MCV4,12,Middlesex-London Health Unit,70.6,2001
2013-2014,MCV4,12,Niagara Region Public Health,87.4,2001
2013-2014,MCV4,12,North Bay Parry Sound District Health Unit,78.5,2001
2013-2014,MCV4,12,Northwestern Health Unit,79.6,2001
2013-2014,MCV4,12,Ontario,77.5,2001
2013-2014,MCV4,12,Ottawa Public Health,77.2,2001
2013-2014,MCV4,12,Peel Public Health,70.8,2001
2013-2014,MCV4,12,Peterborough Public Health,62.3,2001
2013-2014,MCV4,12,Porcupine Health Unit,78.0,2001
2013-2014,MCV4,12,Public Health Sudbury & Districts,76.4,2001
2013-2014,MCV4,12,Region of Waterloo Public Health and Paramedic Services,87.1,2001
2013-2014,MCV4,12,Renfrew County and District Health Unit,73.6,2001
2013-2014,MCV4,12,Simcoe Muskoka District Health Unit,85.7,2001
2013-2014,MCV4,12,Southwestern Public Health,75.1,2001
2013-2014,MCV4,12,Thunder Bay District Health Unit,72.0,2001
2013-2014,MCV4,12,Timiskaming Health Unit,69.5,2001
2013-2014,MCV4,12,Toronto Public Health,80.0,2001
2013-2014,MCV4,12,Wellington-Dufferin-Guelph Public Health,79.0,2001
2013-2014,MCV4,12,Windsor-Essex County Health Unit,79.8,2001
2013-2014,MCV4,12,York Region Public Health,75.6,2001
2013-2014,Measles,7,Algoma Public Health,97.5,2006
2013-2014,Measles,17,Algoma Public Health,98.7,1996
2013-2014,Measles,7,Brant County Health Unit,95.1,2006
2013-2014,Measles,17,Brant County Health Unit,97.4,1996
2013-2014,Measles,7,Chatham-Kent Public Health,94.4,2006
2013-2014,Measles,17,Chatham-Kent Public Health,97.7,1996
2013-2014,Measles,7,City of Hamilton Public Health Services,91.8,2006
2013-2014,Measles,17,City of Hamilton Public Health Services,97.6,1996
2013-2014,Measles,7,Durham Region Health Department,97.4,2006
2013-2014,Measles,17,Durham Region Health Department,98.1,1996
2013-2014,Measles,7,Eastern Ontario Health Unit,94.0,2006
2013-2014,Measles,17,Eastern Ontario Health Unit,96.7,1996
2013-2014,Measles,7,Grey Bruce Public Health,94.9,2006
2013-2014,Measles,17,Grey Bruce Public Health,96.6,1996
2013-2014,Measles,7,Haldimand-Norfolk Health Unit,82.3,2006
2013-2014,Measles,17,Haldimand-Norfolk Health Unit,96.7,1996
2013-2014,Measles,7,"Haliburton, Kawartha, Pine Ridge District Health Unit",92.7,2006
2013-2014,Measles,17,"Haliburton, Kawartha, Pine Ridge District Health Unit",98.0,1996
2013-2014,Measles,7,Halton Region Public Health,88.8,2006
2013-2014,Measles,17,Halton Region Public Health,96.0,1996
2013-2014,Measles,7,Hastings Prince Edward Public Health,97.2,2006
2013-2014,Measles,17,Hastings Prince Edward Public Health,97.5,1996
2013-2014,Measles,7,Huron Perth Public Health,95.5,2006
2013-2014,Measles,17,Huron Perth Public Health,96.4,1996
2013-2014,Measles,7,"Kingston, Frontenac and Lennox & Addington Public Health",96.9,2006
2013-2014,Measles,17,"Kingston, Frontenac and Lennox & Addington Public Health",96.4,1996
2013-2014,Measles,7,Lambton Public Health,94.6,2006
2013-2014,Measles,17,Lambton Public Health,98.1,1996
2013-2014,Measles,7,"Leeds, Grenville & Lanark District Health Unit",94.8,2006
2013-2014,Measles,17,"Leeds, Grenville & Lanark District Health Unit",90.9,1996
2013-2014,Measles,7,Middlesex-London Health Unit,92.6,2006
2013-2014,Measles,17,Middlesex-London Health Unit,97.6,1996
2013-2014,Measles,7,Niagara Region Public Health,93.2,2006
2013-2014,Measles,17,Niagara Region Public Health,96.5,1996
2013-2014,Measles,7,North Bay Parry Sound District Health Unit,98.1,2006
2013-2014,Measles,17,North Bay Parry Sound District Health Unit,98.4,1996
2013-2014,Measles,7,Northwestern Health Unit,98.1,2006
2013-2014,Measles,17,Northwestern Health Unit,98.5,1996
2013-2014,Measles,7,Ontario,94.0,2006
2013-2014,Measles,17,Ontario,96.7,1996
2013-2014,Measles,7,Ottawa Public Health,92.1,2006
2013-2014,Measles,17,Ottawa Public Health,97.7,1996
2013-2014,Measles,7,Peel Public Health,94.3,2006
2013-2014,Measles,17,Peel Public Health,97.1,1996
2013-2014,Measles,7,Peterborough Public Health,92.5,2006
2013-2014,Measles,17,Peterborough Public Health,94.4,1996
2013-2014,Measles,7,Porcupine Health Unit,97.7,2006
2013-2014,Measles,17,Porcupine Health Unit,98.3,1996
2013-2014,Measles,7,Public Health Sudbury & Districts,97.0,2006
2013-2014,Measles,17,Public Health Sudbury & Districts,98.5,1996
2013-2014,Measles,7,Region of Waterloo Public Health and Paramedic Services,96.5,2006
2013-2014,Measles,17,Region of Waterloo Public Health and Paramedic Services,97.3,1996
2013-2014,Measles,7,Renfrew County and District Health Unit,98.6,2006
2013-2014,Measles,17,Renfrew County and District Health Unit,98.1,1996
2013-2014,Measles,7,Simcoe Muskoka District Health Unit,96.3,2006
2013-2014,Measles,17,Simcoe Muskoka District Health Unit,97.1,1996
2013-2014,Measles,7,Southwestern Public Health,93.1,2006
2013-2014,Measles,17,Southwestern Public Health,96.6,1996
2013-2014,Measles,7,Thunder Bay District Health Unit,96.2,2006
2013-2014,Measles,17,Thunder Bay District Health Unit,97.5,1996
2013-2014,Measles,7,Timiskaming Health Unit,97.3,2006
2013-2014,Measles,17,Timiskaming Health Unit,99.0,1996
2013-2014,Measles,7,Toronto Public Health,94.2,2006
2013-2014,Measles,17,Toronto Public Health,95.1,1996
2013-2014,Measles,7,Wellington-Dufferin-Guelph Public Health,89.4,2006
2013-2014,Measles,17,Wellington-Dufferin-Guelph Public Health,96.5,1996
2013-2014,Measles,7,Windsor-Essex County Health Unit,90.5,2006
2013-2014,Measles,17,Windsor-Essex County Health Unit,95.9,1996
2013-2014,Measles,7,York Region Public Health,95.5,2006
2013-2014,Measles,17,York Region Public Health,96.6,1996
2013-2014,Mumps,7,Algoma Public Health,97.5,2006
2013-2014,Mumps,17,Algoma Public Health,98.7,1996
2013-2014,Mumps,7,Brant County Health Unit,95.1,2006
2013-2014,Mumps,17,Brant County Health Unit,97.1,1996
2013-2014,Mumps,7,Chatham-Kent Public Health,94.4,2006
2013-2014,Mumps,17,Chatham-Kent Public Health,97.5,1996
2013-2014,Mumps,7,City of Hamilton Public Health Services,91.4,2006
2013-2014,Mumps,17,City of Hamilton Public Health Services,96.7,1996
2013-2014,Mumps,7,Durham Region Health Department,97.2,2006
2013-2014,Mumps,17,Durham Region Health Department,97.5,1996
2013-2014,Mumps,7,Eastern Ontario Health Unit,94.0,2006
2013-2014,Mumps,17,Eastern Ontario Health Unit,96.3,1996
2013-2014,Mumps,7,Grey Bruce Public Health,94.8,2006
2013-2014,Mumps,17,Grey Bruce Public Health,96.4,1996
2013-2014,Mumps,7,Haldimand-Norfolk Health Unit,82.3,2006
2013-2014,Mumps,17,Haldimand-Norfolk Health Unit,96.4,1996
2013-2014,Mumps,7,"Haliburton, Kawartha, Pine Ridge District Health Unit",92.7,2006
2013-2014,Mumps,17,"Haliburton, Kawartha, Pine Ridge District Health Unit",97.7,1996
2013-2014,Mumps,7,Halton Region Public Health,88.5,2006
2013-2014,Mumps,17,Halton Region Public Health,94.8,1996
2013-2014,Mumps,7,Hastings Prince Edward Public Health,97.1,2006
2013-2014,Mumps,17,Hastings Prince Edward Public Health,96.5,1996
2013-2014,Mumps,7,Huron Perth Public Health,95.3,2006
2013-2014,Mumps,17,Huron Perth Public Health,96.1,1996
2013-2014,Mumps,7,"Kingston, Frontenac and Lennox & Addington Public Health",96.8,2006
2013-2014,Mumps,17,"Kingston, Frontenac and Lennox & Addington Public Health",95.9,1996
2013-2014,Mumps,7,Lambton Public Health,94.4,2006
2013-2014,Mumps,17,Lambton Public Health,97.7,1996
2013-2014,Mumps,7,"Leeds, Grenville & Lanark District Health Unit",94.7,2006
2013-2014,Mumps,17,"Leeds, Grenville & Lanark District Health Unit",90.8,1996
2013-2014,Mumps,7,Middlesex-London Health Unit,92.4,2006
2013-2014,Mumps,17,Middlesex-London Health Unit,97.0,1996
2013-2014,Mumps,7,Niagara Region Public Health,93.1,2006
2013-2014,Mumps,17,Niagara Region Public Health,96.2,1996
2013-2014,Mumps,7,North Bay Parry Sound District Health Unit,98.1,2006
2013-2014,Mumps,17,North Bay Parry Sound District Health Unit,98.0,1996
2013-2014,Mumps,7,Northwestern Health Unit,97.9,2006
2013-2014,Mumps,17,Northwestern Health Unit,98.1,1996
2013-2014,Mumps,7,Ontario,93.6,2006
2013-2014,Mumps,17,Ontario,95.0,1996
2013-2014,Mumps,7,Ottawa Public Health,91.8,2006
2013-2014,Mumps,17,Ottawa Public Health,95.8,1996
2013-2014,Mumps,7,Peel Public Health,93.8,2006
2013-2014,Mumps,17,Peel Public Health,95.1,1996
2013-2014,Mumps,7,Peterborough Public Health,92.5,2006
2013-2014,Mumps,17,Peterborough Public Health,94.0,1996
2013-2014,Mumps,7,Porcupine Health Unit,97.7,2006
2013-2014,Mumps,17,Porcupine Health Unit,98.1,1996
2013-2014,Mumps,7,Public Health Sudbury & Districts,97.0,2006
2013-2014,Mumps,17,Public Health Sudbury & Districts,98.5,1996
2013-2014,Mumps,7,Region of Waterloo Public Health and Paramedic Services,96.3,2006
2013-2014,Mumps,17,Region of Waterloo Public Health and Paramedic Services,96.2,1996
2013-2014,Mumps,7,Renfrew County and District Health Unit,98.6,2006
2013-2014,Mumps,17,Renfrew County and District Health Unit,97.7,1996
2013-2014,Mumps,7,Simcoe Muskoka District Health Unit,96.2,2006
2013-2014,Mumps,17,Simcoe Muskoka District Health Unit,96.5,1996
2013-2014,Mumps,7,Southwestern Public Health,93.1,2006
2013-2014,Mumps,17,Southwestern Public Health,96.8,1996
2013-2014,Mumps,7,Thunder Bay District Health Unit,96.2,2006
2013-2014,Mumps,17,Thunder Bay District Health Unit,97.3,1996
2013-2014,Mumps,7,Timiskaming Health Unit,97.3,2006
2013-2014,Mumps,17,Timiskaming Health Unit,98.7,1996
2013-2014,Mumps,7,Toronto Public Health,93.1,2006
2013-2014,Mumps,17,Toronto Public Health,91.5,1996
2013-2014,Mumps,7,Wellington-Dufferin-Guelph Public Health,89.1,2006
2013-2014,Mumps,17,Wellington-Dufferin-Guelph Public Health,95.8,1996
2013-2014,Mumps,7,Windsor-Essex County Health Unit,90.4,2006
2013-2014,Mumps,17,Windsor-Essex County Health Unit,94.8,1996
2013-2014,Mumps,7,York Region Public Health,95.0,2006
2013-2014,Mumps,17,York Region Public Health,93.8,1996
2013-2014,Pertussis,7,Algoma Public Health,89.3,2006
2013-2014,Pertussis,17,Algoma Public Health,85.4,1996
2013-2014,Pertussis,7,Brant County Health Unit,90.2,2006
2013-2014,Pertussis,17,Brant County Health Unit,78.9,1996
2013-2014,Pertussis,7,Chatham-Kent Public Health,90.0,2006
2013-2014,Pertussis,17,Chatham-Kent Public Health,83.8,1996
2013-2014,Pertussis,7,City of Hamilton Public Health Services,79.7,2006
2013-2014,Pertussis,17,City of Hamilton Public Health Services,15.0,1996
2013-2014,Pertussis,7,Durham Region Health Department,95.1,2006
2013-2014,Pertussis,17,Durham Region Health Department,78.4,1996
2013-2014,Pertussis,7,Eastern Ontario Health Unit,89.0,2006
2013-2014,Pertussis,17,Eastern Ontario Health Unit,70.8,1996
2013-2014,Pertussis,7,Grey Bruce Public Health,89.2,2006
2013-2014,Pertussis,17,Grey Bruce Public Health,84.6,1996
2013-2014,Pertussis,7,Haldimand-Norfolk Health Unit,55.9,2006
2013-2014,Pertussis,17,Haldimand-Norfolk Health Unit,77.5,1996
2013-2014,Pertussis,7,"Haliburton, Kawartha, Pine Ridge District Health Unit",61.5,2006
2013-2014,Pertussis,17,"Haliburton, Kawartha, Pine Ridge District Health Unit",65.5,1996
2013-2014,Pertussis,7,Halton Region Public Health,66.3,2006
2013-2014,Pertussis,17,Halton Region Public Health,65.0,1996
2013-2014,Pertussis,7,Hastings Prince Edward Public Health,93.3,2006
2013-2014,Pertussis,17,Hastings Prince Edward Public Health,80.6,1996
2013-2014,Pertussis,7,Huron Perth Public Health,87.6,2006
2013-2014,Pertussis,17,Huron Perth Public Health,87.5,1996
2013-2014,Pertussis,7,"Kingston, Frontenac and Lennox & Addington Public Health",91.8,2006
2013-2014,Pertussis,17,"Kingston, Frontenac and Lennox & Addington Public Health",55.3,1996
2013-2014,Pertussis,7,Lambton Public Health,88.0,2006
2013-2014,Pertussis,17,Lambton Public Health,72.2,1996
2013-2014,Pertussis,7,"Leeds, Grenville & Lanark District Health Unit",80.6,2006
2013-2014,Pertussis,17,"Leeds, Grenville & Lanark District Health Unit",59.9,1996
2013-2014,Pertussis,7,Middlesex-London Health Unit,78.9,2006
2013-2014,Pertussis,17,Middlesex-London Health Unit,72.5,1996
2013-2014,Pertussis,7,Niagara Region Public Health,87.4,2006
