public_health_unit,outcome,surveillance_period,surveillance_week,start_of_time_period,end_of_time_period,number,population,number_per_100_000_population
Durham Region Health Department,Influenza hospital admissions,2025-26,23,2026-06-07,2026-06-13,1,809962,0.1
Durham Region Health Department,Influenza hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,809962,0.0
Durham Region Health Department,Influenza hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,1,809962,0.1
Durham Region Health Department,RSV hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,809962,0.0
Durham Region Health Department,RSV hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,809962,0.0
Durham Region Health Department,RSV hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,809962,0.0
Eastern Ontario Health Unit,COVID-19 deaths,2025-26,23,2026-06-07,2026-06-13,0,238452,0.0
Eastern Ontario Health Unit,COVID-19 hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,238452,0.0
Eastern Ontario Health Unit,COVID-19 hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,238452,0.0
Eastern Ontario Health Unit,COVID-19 hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,238452,0.0
Eastern Ontario Health Unit,COVID-19 hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,2,238452,0.8
Eastern Ontario Health Unit,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2025-26,23,2026-06-07,2026-06-13,2,238452,1.0
Eastern Ontario Health Unit,Influenza hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,238452,0.0
Eastern Ontario Health Unit,Influenza hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,238452,0.0
Eastern Ontario Health Unit,Influenza hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,238452,0.0
Eastern Ontario Health Unit,Influenza hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,238452,0.0
Eastern Ontario Health Unit,RSV hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,238452,0.0
Eastern Ontario Health Unit,RSV hospital admissions,2025-26,23,2026-06-07,2026-06-13,1,238452,0.4
Eastern Ontario Health Unit,RSV hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,238452,0.2
Grand Erie Public Health,COVID-19 deaths,2025-26,23,2026-06-07,2026-06-13,0,312466,0.0
Grand Erie Public Health,COVID-19 hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,312466,0.0
Grand Erie Public Health,COVID-19 hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,312466,0.0
Grand Erie Public Health,COVID-19 hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,312466,0.0
Grand Erie Public Health,COVID-19 hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,312466,0.0
Grand Erie Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2025-26,23,2026-06-07,2026-06-13,2,312466,0.7
Grand Erie Public Health,Influenza hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,312466,0.0
Grand Erie Public Health,Influenza hospital admissions,2025-26,23,2026-06-07,2026-06-13,7,312466,2.2
Grand Erie Public Health,Influenza hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,312466,0.0
Grand Erie Public Health,Influenza hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,2,312466,0.7
Grand Erie Public Health,RSV hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,312466,0.0
Grand Erie Public Health,RSV hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,312466,0.0
Grand Erie Public Health,RSV hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,312466,0.0
Grey Bruce Public Health,COVID-19 deaths,2025-26,23,2026-06-07,2026-06-13,0,197458,0.0
Grey Bruce Public Health,COVID-19 hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,197458,0.0
Grey Bruce Public Health,COVID-19 hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,197458,0.0
Grey Bruce Public Health,COVID-19 hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,197458,0.0
Grey Bruce Public Health,COVID-19 hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,197458,0.0
Grey Bruce Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2025-26,23,2026-06-07,2026-06-13,0,197458,0.0
Grey Bruce Public Health,Influenza hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,197458,0.0
Grey Bruce Public Health,Influenza hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,197458,0.0
Grey Bruce Public Health,Influenza hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,197458,0.0
Grey Bruce Public Health,Influenza hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,197458,0.0
Grey Bruce Public Health,RSV hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,197458,0.0
Grey Bruce Public Health,RSV hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,197458,0.0
Grey Bruce Public Health,RSV hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,197458,0.0
Halton Region Public Health,COVID-19 deaths,2025-26,23,2026-06-07,2026-06-13,1,670590,0.1
Halton Region Public Health,COVID-19 hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,670590,0.0
Halton Region Public Health,COVID-19 hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,670590,0.0
Halton Region Public Health,COVID-19 hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,670590,0.0
Halton Region Public Health,COVID-19 hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,670590,0.0
Halton Region Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2025-26,23,2026-06-07,2026-06-13,1,670590,0.1
Halton Region Public Health,Influenza hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,670590,0.0
Halton Region Public Health,Influenza hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,670590,0.0
Halton Region Public Health,Influenza hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,670590,0.0
Halton Region Public Health,Influenza hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,670590,0.0
Halton Region Public Health,RSV hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,670590,0.0
Halton Region Public Health,RSV hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,670590,0.0
Halton Region Public Health,RSV hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,670590,0.0
Huron Perth Public Health,COVID-19 deaths,2025-26,23,2026-06-07,2026-06-13,0,159445,0.0
Huron Perth Public Health,COVID-19 hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,159445,0.0
Huron Perth Public Health,COVID-19 hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,159445,0.0
Huron Perth Public Health,COVID-19 hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,159445,0.0
Huron Perth Public Health,COVID-19 hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,159445,0.0
Huron Perth Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2025-26,23,2026-06-07,2026-06-13,0,159445,0.0
Huron Perth Public Health,Influenza hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,159445,0.0
Huron Perth Public Health,Influenza hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,159445,0.0
Huron Perth Public Health,Influenza hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,159445,0.0
Huron Perth Public Health,Influenza hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,159445,0.0
Huron Perth Public Health,RSV hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,159445,0.0
Huron Perth Public Health,RSV hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,159445,0.0
Huron Perth Public Health,RSV hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,159445,0.0
Lakelands Public Health,COVID-19 deaths,2025-26,23,2026-06-07,2026-06-13,0,382769,0.0
Lakelands Public Health,COVID-19 hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,1,382769,0.3
Lakelands Public Health,COVID-19 hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,382769,0.0
Lakelands Public Health,COVID-19 hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,382769,0.0
Lakelands Public Health,COVID-19 hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,1,382769,0.3
Lakelands Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2025-26,23,2026-06-07,2026-06-13,1,382769,0.3
Lakelands Public Health,Influenza hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,382769,0.0
Lakelands Public Health,Influenza hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,382769,0.0
Lakelands Public Health,Influenza hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,382769,0.0
Lakelands Public Health,Influenza hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,382769,0.0
Lakelands Public Health,RSV hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,382769,0.0
Lakelands Public Health,RSV hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,382769,0.0
Lakelands Public Health,RSV hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,382769,0.0
Lambton Public Health,COVID-19 deaths,2025-26,23,2026-06-07,2026-06-13,0,147491,0.0
Lambton Public Health,COVID-19 hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,147491,0.0
Lambton Public Health,COVID-19 hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,147491,0.0
Lambton Public Health,COVID-19 hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,147491,0.0
Lambton Public Health,COVID-19 hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,147491,0.0
Lambton Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2025-26,23,2026-06-07,2026-06-13,0,147491,0.0
Lambton Public Health,Influenza hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,147491,0.0
Lambton Public Health,Influenza hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,147491,0.0
Lambton Public Health,Influenza hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,147491,0.0
Lambton Public Health,Influenza hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,147491,0.0
Lambton Public Health,RSV hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,147491,0.0
Lambton Public Health,RSV hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,147491,0.0
Lambton Public Health,RSV hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,147491,0.0
Middlesex-London Health Unit,COVID-19 deaths,2025-26,23,2026-06-07,2026-06-13,0,608194,0.0
Middlesex-London Health Unit,COVID-19 hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,608194,0.0
