public_health_unit,outcome,surveillance_period,surveillance_week,start_of_time_period,end_of_time_period,number,population,number_per_100_000_population
Simcoe Muskoka District Health Unit,Influenza hospital ICU bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,1,672052,0.1
Simcoe Muskoka District Health Unit,Influenza hospital admissions,2024-25,18,2025-04-27,2025-05-03,1,672052,0.1
Simcoe Muskoka District Health Unit,Influenza hospital bed occupancy (due to infection),2024-25,18,2025-04-27,2025-05-03,5,672052,0.7
Simcoe Muskoka District Health Unit,Influenza hospital bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,7,672052,1.1
Simcoe Muskoka District Health Unit,RSV hospital ICU bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,0,672052,0.0
Simcoe Muskoka District Health Unit,RSV hospital admissions,2024-25,18,2025-04-27,2025-05-03,0,672052,0.0
Simcoe Muskoka District Health Unit,RSV hospital bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,2,672052,0.3
South East Public Health,COVID-19 deaths,2024-25,18,2025-04-27,2025-05-03,0,610384,0.0
South East Public Health,COVID-19 hospital ICU bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,0,610384,0.0
South East Public Health,COVID-19 hospital admissions,2024-25,18,2025-04-27,2025-05-03,0,610384,0.0
South East Public Health,COVID-19 hospital bed occupancy (due to infection),2024-25,18,2025-04-27,2025-05-03,0,610384,0.0
South East Public Health,COVID-19 hospital bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,0,610384,0.0
South East Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2024-25,18,2025-04-27,2025-05-03,2,610384,0.4
South East Public Health,Influenza hospital ICU bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,0,610384,0.0
South East Public Health,Influenza hospital admissions,2024-25,18,2025-04-27,2025-05-03,1,610384,0.2
South East Public Health,Influenza hospital bed occupancy (due to infection),2024-25,18,2025-04-27,2025-05-03,1,610384,0.2
South East Public Health,Influenza hospital bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,2,610384,0.4
South East Public Health,RSV hospital ICU bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,0,610384,0.0
South East Public Health,RSV hospital admissions,2024-25,18,2025-04-27,2025-05-03,0,610384,0.0
South East Public Health,RSV hospital bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,0,610384,0.0
Southwestern Public Health,COVID-19 deaths,2024-25,18,2025-04-27,2025-05-03,0,240455,0.0
Southwestern Public Health,COVID-19 hospital ICU bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,0,240455,0.0
Southwestern Public Health,COVID-19 hospital admissions,2024-25,18,2025-04-27,2025-05-03,0,240455,0.0
Southwestern Public Health,COVID-19 hospital bed occupancy (due to infection),2024-25,18,2025-04-27,2025-05-03,0,240455,0.0
Southwestern Public Health,COVID-19 hospital bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,1,240455,0.3
Southwestern Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2024-25,18,2025-04-27,2025-05-03,7,240455,3.1
Southwestern Public Health,Influenza hospital ICU bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,1,240455,0.4
Southwestern Public Health,Influenza hospital admissions,2024-25,18,2025-04-27,2025-05-03,1,240455,0.4
Southwestern Public Health,Influenza hospital bed occupancy (due to infection),2024-25,18,2025-04-27,2025-05-03,5,240455,2.0
Southwestern Public Health,Influenza hospital bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,7,240455,2.8
Southwestern Public Health,RSV hospital ICU bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,0,240455,0.0
Southwestern Public Health,RSV hospital admissions,2024-25,18,2025-04-27,2025-05-03,0,240455,0.0
Southwestern Public Health,RSV hospital bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,0,240455,0.0
Thunder Bay District Health Unit,COVID-19 deaths,2024-25,18,2025-04-27,2025-05-03,0,163554,0.0
Thunder Bay District Health Unit,COVID-19 hospital ICU bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,0,163554,0.0
Thunder Bay District Health Unit,COVID-19 hospital admissions,2024-25,18,2025-04-27,2025-05-03,0,163554,0.0
Thunder Bay District Health Unit,COVID-19 hospital bed occupancy (due to infection),2024-25,18,2025-04-27,2025-05-03,1,163554,0.6
Thunder Bay District Health Unit,COVID-19 hospital bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,1,163554,0.6
Thunder Bay District Health Unit,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2024-25,18,2025-04-27,2025-05-03,3,163554,1.7
Thunder Bay District Health Unit,Influenza hospital ICU bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,0,163554,0.0
Thunder Bay District Health Unit,Influenza hospital admissions,2024-25,18,2025-04-27,2025-05-03,1,163554,0.6
Thunder Bay District Health Unit,Influenza hospital bed occupancy (due to infection),2024-25,18,2025-04-27,2025-05-03,0,163554,0.0
Thunder Bay District Health Unit,Influenza hospital bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,0,163554,0.3
Thunder Bay District Health Unit,RSV hospital ICU bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,0,163554,0.0
Thunder Bay District Health Unit,RSV hospital admissions,2024-25,18,2025-04-27,2025-05-03,1,163554,0.6
Thunder Bay District Health Unit,RSV hospital bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,1,163554,0.8
Toronto Public Health,COVID-19 deaths,2024-25,18,2025-04-27,2025-05-03,0,3273120,0.0
Toronto Public Health,COVID-19 hospital ICU bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,2,3273120,0.1
Toronto Public Health,COVID-19 hospital admissions,2024-25,18,2025-04-27,2025-05-03,8,3273120,0.2
Toronto Public Health,COVID-19 hospital bed occupancy (due to infection),2024-25,18,2025-04-27,2025-05-03,6,3273120,0.2
Toronto Public Health,COVID-19 hospital bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,27,3273120,0.8
Toronto Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2024-25,18,2025-04-27,2025-05-03,64,3273120,2.0
Toronto Public Health,Influenza hospital ICU bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,6,3273120,0.2
Toronto Public Health,Influenza hospital admissions,2024-25,18,2025-04-27,2025-05-03,22,3273120,0.7
Toronto Public Health,Influenza hospital bed occupancy (due to infection),2024-25,18,2025-04-27,2025-05-03,10,3273120,0.3
Toronto Public Health,Influenza hospital bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,25,3273120,0.8
Toronto Public Health,RSV hospital ICU bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,1,3273120,0.0
Toronto Public Health,RSV hospital admissions,2024-25,18,2025-04-27,2025-05-03,5,3273120,0.2
Toronto Public Health,RSV hospital bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,13,3273120,0.4
Wellington-Dufferin-Guelph Public Health,COVID-19 deaths,2024-25,18,2025-04-27,2025-05-03,0,337871,0.0
Wellington-Dufferin-Guelph Public Health,COVID-19 hospital ICU bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,0,337871,0.0
Wellington-Dufferin-Guelph Public Health,COVID-19 hospital admissions,2024-25,18,2025-04-27,2025-05-03,6,337871,1.8
Wellington-Dufferin-Guelph Public Health,COVID-19 hospital bed occupancy (due to infection),2024-25,18,2025-04-27,2025-05-03,2,337871,0.5
Wellington-Dufferin-Guelph Public Health,COVID-19 hospital bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,2,337871,0.5
Wellington-Dufferin-Guelph Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2024-25,18,2025-04-27,2025-05-03,4,337871,1.3
Wellington-Dufferin-Guelph Public Health,Influenza hospital ICU bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,1,337871,0.3
Wellington-Dufferin-Guelph Public Health,Influenza hospital admissions,2024-25,18,2025-04-27,2025-05-03,2,337871,0.6
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (due to infection),2024-25,18,2025-04-27,2025-05-03,3,337871,0.8
Wellington-Dufferin-Guelph Public Health,Influenza hospital bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,3,337871,0.8
Wellington-Dufferin-Guelph Public Health,RSV hospital ICU bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,0,337871,0.0
Wellington-Dufferin-Guelph Public Health,RSV hospital admissions,2024-25,18,2025-04-27,2025-05-03,0,337871,0.0
Wellington-Dufferin-Guelph Public Health,RSV hospital bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,0,337871,0.0
Windsor-Essex County Health Unit,COVID-19 deaths,2024-25,18,2025-04-27,2025-05-03,0,483950,0.0
Windsor-Essex County Health Unit,COVID-19 hospital ICU bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,0,483950,0.0
Windsor-Essex County Health Unit,COVID-19 hospital admissions,2024-25,18,2025-04-27,2025-05-03,5,483950,1.0
Windsor-Essex County Health Unit,COVID-19 hospital bed occupancy (due to infection),2024-25,18,2025-04-27,2025-05-03,4,483950,0.8
Windsor-Essex County Health Unit,COVID-19 hospital bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,5,483950,1.0
Windsor-Essex County Health Unit,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2024-25,18,2025-04-27,2025-05-03,6,483950,1.2
Windsor-Essex County Health Unit,Influenza hospital ICU bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,0,483950,0.0
Windsor-Essex County Health Unit,Influenza hospital admissions,2024-25,18,2025-04-27,2025-05-03,1,483950,0.2
Windsor-Essex County Health Unit,Influenza hospital bed occupancy (due to infection),2024-25,18,2025-04-27,2025-05-03,0,483950,0.1
Windsor-Essex County Health Unit,Influenza hospital bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,0,483950,0.1
Windsor-Essex County Health Unit,RSV hospital ICU bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,0,483950,0.0
Windsor-Essex County Health Unit,RSV hospital admissions,2024-25,18,2025-04-27,2025-05-03,1,483950,0.2
Windsor-Essex County Health Unit,RSV hospital bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,1,483950,0.1
York Region Public Health,COVID-19 deaths,2024-25,18,2025-04-27,2025-05-03,0,1285154,0.0
York Region Public Health,COVID-19 hospital ICU bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,2,1285154,0.1
York Region Public Health,COVID-19 hospital admissions,2024-25,18,2025-04-27,2025-05-03,4,1285154,0.3
York Region Public Health,COVID-19 hospital bed occupancy (due to infection),2024-25,18,2025-04-27,2025-05-03,4,1285154,0.3
York Region Public Health,COVID-19 hospital bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,7,1285154,0.6
York Region Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2024-25,18,2025-04-27,2025-05-03,13,1285154,1.0
York Region Public Health,Influenza hospital ICU bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,1,1285154,0.1
York Region Public Health,Influenza hospital admissions,2024-25,18,2025-04-27,2025-05-03,3,1285154,0.2
York Region Public Health,Influenza hospital bed occupancy (due to infection),2024-25,18,2025-04-27,2025-05-03,1,1285154,0.0
York Region Public Health,Influenza hospital bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,5,1285154,0.4
York Region Public Health,RSV hospital ICU bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,0,1285154,0.0
York Region Public Health,RSV hospital admissions,2024-25,18,2025-04-27,2025-05-03,1,1285154,0.1
York Region Public Health,RSV hospital bed occupancy (total),2024-25,18,2025-04-27,2025-05-03,0,1285154,0.0
Algoma Public Health,COVID-19 deaths,2024-25,17,2025-04-20,2025-04-26,0,126589,0.0
Algoma Public Health,COVID-19 hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,126589,0.0
Algoma Public Health,COVID-19 hospital admissions,2024-25,17,2025-04-20,2025-04-26,1,126589,0.8
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,0,126589,0.0
Algoma Public Health,COVID-19 hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,2,126589,1.5
Algoma Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2024-25,17,2025-04-20,2025-04-26,3,126589,2.3
Algoma Public Health,Influenza hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,1,126589,0.8
Algoma Public Health,Influenza hospital admissions,2024-25,17,2025-04-20,2025-04-26,2,126589,1.6
Algoma Public Health,Influenza hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,0,126589,0.3
Algoma Public Health,Influenza hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,1,126589,0.8
Algoma Public Health,RSV hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,126589,0.0
Algoma Public Health,RSV hospital admissions,2024-25,17,2025-04-20,2025-04-26,0,126589,0.0
Algoma Public Health,RSV hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,126589,0.0
Chatham-Kent Public Health,COVID-19 deaths,2024-25,17,2025-04-20,2025-04-26,0,111703,0.0
Chatham-Kent Public Health,COVID-19 hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,111703,0.0
Chatham-Kent Public Health,COVID-19 hospital admissions,2024-25,17,2025-04-20,2025-04-26,0,111703,0.0
Chatham-Kent Public Health,COVID-19 hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,0,111703,0.0
Chatham-Kent Public Health,COVID-19 hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,1,111703,1.3
Chatham-Kent Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2024-25,17,2025-04-20,2025-04-26,2,111703,2.2
Chatham-Kent Public Health,Influenza hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,111703,0.0
Chatham-Kent Public Health,Influenza hospital admissions,2024-25,17,2025-04-20,2025-04-26,0,111703,0.0
Chatham-Kent Public Health,Influenza hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,0,111703,0.0
Chatham-Kent Public Health,Influenza hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,111703,0.0
Chatham-Kent Public Health,RSV hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,111703,0.0
Chatham-Kent Public Health,RSV hospital admissions,2024-25,17,2025-04-20,2025-04-26,0,111703,0.0
Chatham-Kent Public Health,RSV hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,1,111703,0.9
City of Hamilton Public Health Services,COVID-19 deaths,2024-25,17,2025-04-20,2025-04-26,0,632111,0.0
City of Hamilton Public Health Services,COVID-19 hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,632111,0.1
City of Hamilton Public Health Services,COVID-19 hospital admissions,2024-25,17,2025-04-20,2025-04-26,5,632111,0.8
City of Hamilton Public Health Services,COVID-19 hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,0,632111,0.0
City of Hamilton Public Health Services,COVID-19 hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,9,632111,1.4
City of Hamilton Public Health Services,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2024-25,17,2025-04-20,2025-04-26,17,632111,2.8
City of Hamilton Public Health Services,Influenza hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,1,632111,0.1
City of Hamilton Public Health Services,Influenza hospital admissions,2024-25,17,2025-04-20,2025-04-26,9,632111,1.4
City of Hamilton Public Health Services,Influenza hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,3,632111,0.5
City of Hamilton Public Health Services,Influenza hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,8,632111,1.2
City of Hamilton Public Health Services,RSV hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,1,632111,0.2
City of Hamilton Public Health Services,RSV hospital admissions,2024-25,17,2025-04-20,2025-04-26,4,632111,0.6
City of Hamilton Public Health Services,RSV hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,1,632111,0.2
Durham Region Health Department,COVID-19 deaths,2024-25,17,2025-04-20,2025-04-26,0,792615,0.0
Durham Region Health Department,COVID-19 hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,792615,0.0
Durham Region Health Department,COVID-19 hospital admissions,2024-25,17,2025-04-20,2025-04-26,2,792615,0.3
Durham Region Health Department,COVID-19 hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,1,792615,0.1
Durham Region Health Department,COVID-19 hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,6,792615,0.7
Durham Region Health Department,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2024-25,17,2025-04-20,2025-04-26,9,792615,1.1
Durham Region Health Department,Influenza hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,792615,0.0
Durham Region Health Department,Influenza hospital admissions,2024-25,17,2025-04-20,2025-04-26,1,792615,0.1
Durham Region Health Department,Influenza hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,0,792615,0.0
Durham Region Health Department,Influenza hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,1,792615,0.2
Durham Region Health Department,RSV hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,2,792615,0.2
Durham Region Health Department,RSV hospital admissions,2024-25,17,2025-04-20,2025-04-26,0,792615,0.0
Durham Region Health Department,RSV hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,2,792615,0.2
Eastern Ontario Health Unit,COVID-19 deaths,2024-25,17,2025-04-20,2025-04-26,0,233339,0.0
Eastern Ontario Health Unit,COVID-19 hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,1,233339,0.2
Eastern Ontario Health Unit,COVID-19 hospital admissions,2024-25,17,2025-04-20,2025-04-26,1,233339,0.4
Eastern Ontario Health Unit,COVID-19 hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,0,233339,0.1
Eastern Ontario Health Unit,COVID-19 hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,3,233339,1.3
Eastern Ontario Health Unit,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2024-25,17,2025-04-20,2025-04-26,9,233339,4.0
Eastern Ontario Health Unit,Influenza hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,233339,0.0
Eastern Ontario Health Unit,Influenza hospital admissions,2024-25,17,2025-04-20,2025-04-26,5,233339,2.1
Eastern Ontario Health Unit,Influenza hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,0,233339,0.2
Eastern Ontario Health Unit,Influenza hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,6,233339,2.6
Eastern Ontario Health Unit,RSV hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,233339,0.0
Eastern Ontario Health Unit,RSV hospital admissions,2024-25,17,2025-04-20,2025-04-26,0,233339,0.0
Eastern Ontario Health Unit,RSV hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,233339,0.1
Grand Erie Public Health,COVID-19 deaths,2024-25,17,2025-04-20,2025-04-26,1,304541,0.3
Grand Erie Public Health,COVID-19 hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,1,304541,0.3
Grand Erie Public Health,COVID-19 hospital admissions,2024-25,17,2025-04-20,2025-04-26,0,304541,0.0
Grand Erie Public Health,COVID-19 hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,2,304541,0.7
Grand Erie Public Health,COVID-19 hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,6,304541,1.9
Grand Erie Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2024-25,17,2025-04-20,2025-04-26,11,304541,3.5
Grand Erie Public Health,Influenza hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,1,304541,0.5
Grand Erie Public Health,Influenza hospital admissions,2024-25,17,2025-04-20,2025-04-26,9,304541,3.0
Grand Erie Public Health,Influenza hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,3,304541,0.9
Grand Erie Public Health,Influenza hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,5,304541,1.6
Grand Erie Public Health,RSV hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,304541,0.0
Grand Erie Public Health,RSV hospital admissions,2024-25,17,2025-04-20,2025-04-26,0,304541,0.0
Grand Erie Public Health,RSV hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,304541,0.0
Grey Bruce Health Unit,COVID-19 deaths,2024-25,17,2025-04-20,2025-04-26,0,191153,0.0
Grey Bruce Health Unit,COVID-19 hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,191153,0.0
Grey Bruce Health Unit,COVID-19 hospital admissions,2024-25,17,2025-04-20,2025-04-26,0,191153,0.0
Grey Bruce Health Unit,COVID-19 hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,0,191153,0.0
Grey Bruce Health Unit,COVID-19 hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,191153,0.0
Grey Bruce Health Unit,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2024-25,17,2025-04-20,2025-04-26,3,191153,1.5694234461400032
Grey Bruce Health Unit,Influenza hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,1,191153,0.5231411487133344
Grey Bruce Health Unit,Influenza hospital admissions,2024-25,17,2025-04-20,2025-04-26,4,191153,2.0925645948533376
Grey Bruce Health Unit,Influenza hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,2,191153,1.0462822974266688
Grey Bruce Health Unit,Influenza hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,2,191153,1.0462822974266688
Grey Bruce Health Unit,RSV hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,191153,0.0
Grey Bruce Health Unit,RSV hospital admissions,2024-25,17,2025-04-20,2025-04-26,1,191153,0.5231411487133344
Grey Bruce Health Unit,RSV hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,191153,0.0
Grey Bruce Public Health,COVID-19 deaths,2024-25,17,2025-04-20,2025-04-26,0,191153,0.0
Grey Bruce Public Health,COVID-19 hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,191153,0.0
Grey Bruce Public Health,COVID-19 hospital admissions,2024-25,17,2025-04-20,2025-04-26,0,191153,0.0
Grey Bruce Public Health,COVID-19 hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,0,191153,0.0
Grey Bruce Public Health,COVID-19 hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,191153,0.1
Grey Bruce Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2024-25,17,2025-04-20,2025-04-26,3,191153,1.4
Grey Bruce Public Health,Influenza hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,1,191153,0.3
Grey Bruce Public Health,Influenza hospital admissions,2024-25,17,2025-04-20,2025-04-26,4,191153,2.1
Grey Bruce Public Health,Influenza hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,2,191153,1.0
Grey Bruce Public Health,Influenza hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,2,191153,1.1
Grey Bruce Public Health,RSV hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,191153,0.0
Grey Bruce Public Health,RSV hospital admissions,2024-25,17,2025-04-20,2025-04-26,1,191153,0.5
Grey Bruce Public Health,RSV hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,191153,0.1
Halton Region Public Health,COVID-19 deaths,2024-25,17,2025-04-20,2025-04-26,0,656926,0.0
Halton Region Public Health,COVID-19 hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,1,656926,0.1
Halton Region Public Health,COVID-19 hospital admissions,2024-25,17,2025-04-20,2025-04-26,1,656926,0.2
Halton Region Public Health,COVID-19 hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,3,656926,0.5
Halton Region Public Health,COVID-19 hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,3,656926,0.5
Halton Region Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2024-25,17,2025-04-20,2025-04-26,9,656926,1.3
Halton Region Public Health,Influenza hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,3,656926,0.4
Halton Region Public Health,Influenza hospital admissions,2024-25,17,2025-04-20,2025-04-26,4,656926,0.6
Halton Region Public Health,Influenza hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,3,656926,0.4
Halton Region Public Health,Influenza hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,4,656926,0.6
Halton Region Public Health,RSV hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,656926,0.0
Halton Region Public Health,RSV hospital admissions,2024-25,17,2025-04-20,2025-04-26,2,656926,0.3
Halton Region Public Health,RSV hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,1,656926,0.2
Huron Perth Public Health,COVID-19 deaths,2024-25,17,2025-04-20,2025-04-26,0,155726,0.0
Huron Perth Public Health,COVID-19 hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,155726,0.0
Huron Perth Public Health,COVID-19 hospital admissions,2024-25,17,2025-04-20,2025-04-26,0,155726,0.0
Huron Perth Public Health,COVID-19 hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,0,155726,0.0
Huron Perth Public Health,COVID-19 hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,1,155726,0.6
Huron Perth Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2024-25,17,2025-04-20,2025-04-26,3,155726,1.8
Huron Perth Public Health,Influenza hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,155726,0.0
Huron Perth Public Health,Influenza hospital admissions,2024-25,17,2025-04-20,2025-04-26,3,155726,1.9
Huron Perth Public Health,Influenza hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,1,155726,0.9
Huron Perth Public Health,Influenza hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,2,155726,1.3
Huron Perth Public Health,RSV hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,155726,0.0
Huron Perth Public Health,RSV hospital admissions,2024-25,17,2025-04-20,2025-04-26,0,155726,0.0
Huron Perth Public Health,RSV hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,155726,0.0
Lakelands Public Health,COVID-19 deaths,2024-25,17,2025-04-20,2025-04-26,0,372373,0.0
Lakelands Public Health,COVID-19 hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,372373,0.0
Lakelands Public Health,COVID-19 hospital admissions,2024-25,17,2025-04-20,2025-04-26,2,372373,0.5
Lakelands Public Health,COVID-19 hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,1,372373,0.2
Lakelands Public Health,COVID-19 hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,5,372373,1.5
Lakelands Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2024-25,17,2025-04-20,2025-04-26,7,372373,1.8
Lakelands Public Health,Influenza hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,2,372373,0.5
