Public_health_unit,Antigen,Age,Year,Coverage
Algoma Public Health,Diphtheria,17,2015-2016,87.6
Algoma Public Health,Diphtheria,7,2015-2016,91.8
Algoma Public Health,HepB,12,2015-2016,72.8
Algoma Public Health,Hib,7,2015-2016,93.5
Algoma Public Health,MCC,7,2015-2016,97.4
Algoma Public Health,MCV4,12,2015-2016,85.8
Algoma Public Health,Measles,17,2015-2016,97.8
Algoma Public Health,Measles,7,2015-2016,96.4
Algoma Public Health,Mumps,17,2015-2016,97.8
Algoma Public Health,Mumps,7,2015-2016,96.4
Algoma Public Health,Pertussis,17,2015-2016,87.1
Algoma Public Health,Pertussis,7,2015-2016,91.8
Algoma Public Health,Pneumo,7,2015-2016,90.4
Algoma Public Health,Polio,17,2015-2016,97.4
Algoma Public Health,Polio,7,2015-2016,91.8
Algoma Public Health,Rubella,17,2015-2016,98.6
Algoma Public Health,Rubella,7,2015-2016,99.1
Algoma Public Health,Tetanus,17,2015-2016,87.6
Algoma Public Health,Tetanus,7,2015-2016,91.8
Algoma Public Health,Varicella,7,2015-2016,61.6
Algoma Public Health,Diphtheria,17,2016-2017,91.2
Algoma Public Health,Diphtheria,7,2016-2017,94.4
Algoma Public Health,HPV,12,2016-2017,61.5
Algoma Public Health,HepB,12,2016-2017,73.4
Algoma Public Health,Hib,7,2016-2017,91.9
Algoma Public Health,MCC,7,2016-2017,98
Algoma Public Health,MCV4,12,2016-2017,84.8
Algoma Public Health,Measles,17,2016-2017,98.5
Algoma Public Health,Measles,7,2016-2017,96.4
Algoma Public Health,Mumps,17,2016-2017,98.5
Algoma Public Health,Mumps,7,2016-2017,96.4
Algoma Public Health,Pertussis,17,2016-2017,90.5
Algoma Public Health,Pertussis,7,2016-2017,94.4
Algoma Public Health,Pneumo,7,2016-2017,87.1
Algoma Public Health,Polio,17,2016-2017,97.7
Algoma Public Health,Polio,7,2016-2017,94.3
Algoma Public Health,Rubella,17,2016-2017,99.2
Algoma Public Health,Rubella,7,2016-2017,98.3
Algoma Public Health,Tetanus,17,2016-2017,91.2
Algoma Public Health,Tetanus,7,2016-2017,94.4
Algoma Public Health,Varicella,7,2016-2017,72.6
Algoma Public Health,Diphtheria,17,2017-2018,88.6
Algoma Public Health,Diphtheria,7,2017-2018,87.3
Algoma Public Health,HPV,12,2017-2018,55.8
Algoma Public Health,HepB,12,2017-2018,64.9
Algoma Public Health,Hib,7,2017-2018,92
Algoma Public Health,MCC,7,2017-2018,98.1
Algoma Public Health,MCV4,12,2017-2018,81.5
Algoma Public Health,Measles,17,2017-2018,98.5
Algoma Public Health,Measles,7,2017-2018,88
Algoma Public Health,Mumps,17,2017-2018,98.4
Algoma Public Health,Mumps,7,2017-2018,88
Algoma Public Health,Pertussis,17,2017-2018,88.6
Algoma Public Health,Pertussis,7,2017-2018,87.3
Algoma Public Health,Pneumo,7,2017-2018,75.7
Algoma Public Health,Polio,17,2017-2018,97.5
Algoma Public Health,Polio,7,2017-2018,87.3
Algoma Public Health,Rubella,17,2017-2018,98.9
Algoma Public Health,Rubella,7,2017-2018,98.2
Algoma Public Health,Tetanus,17,2017-2018,88.6
Algoma Public Health,Tetanus,7,2017-2018,87.3
Algoma Public Health,Varicella,7,2017-2018,84
Algoma Public Health,Diphtheria,17,2018-2019,81.3
Algoma Public Health,Diphtheria,7,2018-2019,75
Algoma Public Health,HPV,12,2018-2019,57.5
Algoma Public Health,HPV,17,2018-2019,68
Algoma Public Health,HepB,12,2018-2019,64.9
Algoma Public Health,HepB,17,2018-2019,85.2
Algoma Public Health,Hib,7,2018-2019,92.3
Algoma Public Health,MCC,7,2018-2019,97.1
Algoma Public Health,MCV4,12,2018-2019,81.1
Algoma Public Health,MCV4,17,2018-2019,97.4
Algoma Public Health,Measles,17,2018-2019,98.3
Algoma Public Health,Measles,7,2018-2019,75.9
Algoma Public Health,Mumps,17,2018-2019,98.3
Algoma Public Health,Mumps,7,2018-2019,75.9
Algoma Public Health,Pertussis,17,2018-2019,81.2
Algoma Public Health,Pertussis,7,2018-2019,75
Algoma Public Health,Pneumo,7,2018-2019,88.4
Algoma Public Health,Polio,17,2018-2019,97.6
Algoma Public Health,Polio,7,2018-2019,75
Algoma Public Health,Rubella,17,2018-2019,99.1
Algoma Public Health,Rubella,7,2018-2019,97.6
Algoma Public Health,Tetanus,17,2018-2019,81.3
Algoma Public Health,Tetanus,7,2018-2019,75
Algoma Public Health,Varicella,7,2018-2019,72.2
Algoma Public Health,Diphtheria,17,2019-2020,71.8
Algoma Public Health,Diphtheria,7,2019-2020,80.1
Algoma Public Health,HPV,12,2019-2020,60
Algoma Public Health,HPV,17,2019-2020,69.8
Algoma Public Health,HepB,12,2019-2020,62.1
Algoma Public Health,HepB,17,2019-2020,83.6
Algoma Public Health,Hib,7,2019-2020,91.1
Algoma Public Health,MCC,7,2019-2020,97.2
Algoma Public Health,MCV4,12,2019-2020,92.1
Algoma Public Health,MCV4,17,2019-2020,95.1
Algoma Public Health,Measles,17,2019-2020,96.4
Algoma Public Health,Measles,7,2019-2020,80.6
Algoma Public Health,Mumps,17,2019-2020,96.4
Algoma Public Health,Mumps,7,2019-2020,80.6
Algoma Public Health,Pertussis,17,2019-2020,71.8
Algoma Public Health,Pertussis,7,2019-2020,80.1
Algoma Public Health,Pneumo,7,2019-2020,91.5
Algoma Public Health,Polio,17,2019-2020,95.6
Algoma Public Health,Polio,7,2019-2020,80.2
Algoma Public Health,Rota,7,2019-2020,70.6
Algoma Public Health,Rubella,17,2019-2020,97.3
Algoma Public Health,Rubella,7,2019-2020,98
Algoma Public Health,Tetanus,17,2019-2020,71.8
Algoma Public Health,Tetanus,7,2019-2020,80.1
Algoma Public Health,Varicella,7,2019-2020,77.4
Algoma Public Health,Diphtheria,17,2020-2021,59.1
Algoma Public Health,Diphtheria,7,2020-2021,73.6
Algoma Public Health,HPV,12,2020-2021,50.6
Algoma Public Health,HPV,17,2020-2021,67.8
Algoma Public Health,HepB,12,2020-2021,55.2
Algoma Public Health,HepB,17,2020-2021,82.7
Algoma Public Health,Hib,7,2020-2021,92.4
Algoma Public Health,MCC,7,2020-2021,96.1
Algoma Public Health,MCV4,12,2020-2021,86.3
Algoma Public Health,MCV4,17,2020-2021,95.4
Algoma Public Health,Measles,17,2020-2021,96.7
Algoma Public Health,Measles,7,2020-2021,75.8
Algoma Public Health,Mumps,17,2020-2021,96.7
Algoma Public Health,Mumps,7,2020-2021,75.8
Algoma Public Health,Pertussis,17,2020-2021,59
Algoma Public Health,Pertussis,7,2020-2021,73.5
Algoma Public Health,Pneumo,7,2020-2021,92.3
Algoma Public Health,Polio,17,2020-2021,95.5
Algoma Public Health,Polio,7,2020-2021,74
Algoma Public Health,Rota,7,2020-2021,73.1
Algoma Public Health,Rubella,17,2020-2021,98
Algoma Public Health,Rubella,7,2020-2021,97.5
Algoma Public Health,Tetanus,17,2020-2021,59.1
Algoma Public Health,Tetanus,7,2020-2021,73.6
Algoma Public Health,Varicella,7,2020-2021,74.5
Algoma Public Health,Diphtheria,17,2021-2022,46.9
Algoma Public Health,Diphtheria,7,2021-2022,68.7
Algoma Public Health,HPV,12,2021-2022,61.5
Algoma Public Health,HPV,17,2021-2022,65.2
Algoma Public Health,HepB,12,2021-2022,66.4
Algoma Public Health,HepB,17,2021-2022,77.5
Algoma Public Health,Hib,7,2021-2022,90.8
Algoma Public Health,MCC,7,2021-2022,95.1
Algoma Public Health,MCV4,12,2021-2022,90.5
Algoma Public Health,MCV4,17,2021-2022,89.3
Algoma Public Health,Measles,17,2021-2022,95.5
Algoma Public Health,Measles,7,2021-2022,68.7
Algoma Public Health,Mumps,17,2021-2022,95.4
Algoma Public Health,Mumps,7,2021-2022,68.7
Algoma Public Health,Pertussis,17,2021-2022,46.9
Algoma Public Health,Pertussis,7,2021-2022,68.7
Algoma Public Health,Pneumo,7,2021-2022,92.9
Algoma Public Health,Polio,17,2021-2022,93.9
Algoma Public Health,Polio,7,2021-2022,68.8
Algoma Public Health,Rota,7,2021-2022,76.8
Algoma Public Health,Rubella,17,2021-2022,96.8
Algoma Public Health,Rubella,7,2021-2022,96.5
Algoma Public Health,Tetanus,17,2021-2022,46.9
Algoma Public Health,Tetanus,7,2021-2022,68.7
Algoma Public Health,Varicella,7,2021-2022,67
Algoma Public Health,Diphtheria,17,2022-2023,49
Algoma Public Health,Diphtheria,7,2022-2023,69.1
Algoma Public Health,HPV,12,2022-2023,70.1
Algoma Public Health,HPV,17,2022-2023,64.8
Algoma Public Health,HepB,12,2022-2023,74.8
Algoma Public Health,HepB,17,2022-2023,73.6
Algoma Public Health,Hib,7,2022-2023,87.8
Algoma Public Health,MCC,7,2022-2023,92.5
Algoma Public Health,MCV4,12,2022-2023,94.2
Algoma Public Health,MCV4,17,2022-2023,86.6
Algoma Public Health,Measles,17,2022-2023,95.4
Algoma Public Health,Measles,7,2022-2023,69.6
Algoma Public Health,Mumps,17,2022-2023,95.2
Algoma Public Health,Mumps,7,2022-2023,69.6
Algoma Public Health,Pertussis,17,2022-2023,48.8
Algoma Public Health,Pertussis,7,2022-2023,69.1
Algoma Public Health,Pneumo,7,2022-2023,90.2
Algoma Public Health,Polio,17,2022-2023,94.2
Algoma Public Health,Polio,7,2022-2023,68.4
Algoma Public Health,Rota,7,2022-2023,82
Algoma Public Health,Rubella,17,2022-2023,96.6
Algoma Public Health,Rubella,7,2022-2023,95.8
Algoma Public Health,Tetanus,17,2022-2023,49.1
Algoma Public Health,Tetanus,7,2022-2023,69.1
Algoma Public Health,Varicella,7,2022-2023,67.4
Algoma Public Health,Diphtheria,17,2023-2024,74.4
Algoma Public Health,Diphtheria,7,2023-2024,88
Algoma Public Health,HPV,12,2023-2024,69.8
Algoma Public Health,HPV,17,2023-2024,70.7
Algoma Public Health,HepB,12,2023-2024,73.8
Algoma Public Health,HepB,17,2023-2024,77.6
Algoma Public Health,Hib,7,2023-2024,87.6
Algoma Public Health,MCC,7,2023-2024,95.1
Algoma Public Health,MCV4,12,2023-2024,87.9
Algoma Public Health,MCV4,17,2023-2024,91.6
Algoma Public Health,Measles,17,2023-2024,96.7
Algoma Public Health,Measles,7,2023-2024,88.1
Algoma Public Health,Mumps,17,2023-2024,96.7
Algoma Public Health,Mumps,7,2023-2024,87.7
Algoma Public Health,Pertussis,17,2023-2024,74.4
Algoma Public Health,Pertussis,7,2023-2024,88
Algoma Public Health,Pneumo,7,2023-2024,89.7
Algoma Public Health,Polio,17,2023-2024,95.6
Algoma Public Health,Polio,7,2023-2024,87.5
Algoma Public Health,Rota,7,2023-2024,81.3
Algoma Public Health,Rubella,17,2023-2024,97.6
Algoma Public Health,Rubella,7,2023-2024,96
Algoma Public Health,Tetanus,17,2023-2024,74.4
Algoma Public Health,Tetanus,7,2023-2024,88
Algoma Public Health,Varicella,7,2023-2024,86.8
Algoma Public Health,Diphtheria,17,2024-2025,83.9
Algoma Public Health,Diphtheria,7,2024-2025,71.2
Algoma Public Health,HPV,12,2024-2025,59.7
Algoma Public Health,HPV,17,2024-2025,63.4
Algoma Public Health,HepB,12,2024-2025,63.3
Algoma Public Health,HepB,17,2024-2025,67.6
Algoma Public Health,Hib,7,2024-2025,74
Algoma Public Health,MCC,7,2024-2025,85.4
Algoma Public Health,MCV4,12,2024-2025,79.2
Algoma Public Health,MCV4,17,2024-2025,93.2
Algoma Public Health,Measles,17,2024-2025,96.8
Algoma Public Health,Measles,7,2024-2025,72.5
Algoma Public Health,Mumps,17,2024-2025,96.8
Algoma Public Health,Mumps,7,2024-2025,72.1
Algoma Public Health,Pertussis,17,2024-2025,83.6
Algoma Public Health,Pertussis,7,2024-2025,71.2
Algoma Public Health,Pneumo,7,2024-2025,78.9
Algoma Public Health,Polio,17,2024-2025,95.3
Algoma Public Health,Polio,7,2024-2025,70.5
Algoma Public Health,Rota,7,2024-2025,72.9
Algoma Public Health,Rubella,17,2024-2025,98
Algoma Public Health,Rubella,7,2024-2025,86.7
Algoma Public Health,Tetanus,17,2024-2025,83.9
Algoma Public Health,Tetanus,7,2024-2025,71.2
Algoma Public Health,Varicella,7,2024-2025,69.9
Durham Region Health Department,Diphtheria,17,2015-2016,65.3
Durham Region Health Department,Diphtheria,7,2015-2016,80.1
Durham Region Health Department,HepB,12,2015-2016,76.4
Durham Region Health Department,Hib,7,2015-2016,85.1
Durham Region Health Department,MCC,7,2015-2016,91.6
Durham Region Health Department,MCV4,12,2015-2016,88.4
Durham Region Health Department,Measles,17,2015-2016,89.3
Durham Region Health Department,Measles,7,2015-2016,92
Durham Region Health Department,Mumps,17,2015-2016,88.6
Durham Region Health Department,Mumps,7,2015-2016,91.9
Durham Region Health Department,Pertussis,17,2015-2016,63.6
Durham Region Health Department,Pertussis,7,2015-2016,80.1
Durham Region Health Department,Pneumo,7,2015-2016,84.2
Durham Region Health Department,Polio,17,2015-2016,88.3
Durham Region Health Department,Polio,7,2015-2016,80
Durham Region Health Department,Rubella,17,2015-2016,98.6
Durham Region Health Department,Rubella,7,2015-2016,98
Durham Region Health Department,Tetanus,17,2015-2016,65.2
Durham Region Health Department,Tetanus,7,2015-2016,80.2
Durham Region Health Department,Varicella,7,2015-2016,40.9
Durham Region Health Department,Diphtheria,17,2016-2017,84.6
Durham Region Health Department,Diphtheria,7,2016-2017,78.6
Durham Region Health Department,HPV,12,2016-2017,65.8
Durham Region Health Department,HepB,12,2016-2017,73.9
Durham Region Health Department,Hib,7,2016-2017,85.6
Durham Region Health Department,MCC,7,2016-2017,94.1
Durham Region Health Department,MCV4,12,2016-2017,89.3
Durham Region Health Department,Measles,17,2016-2017,96.8
Durham Region Health Department,Measles,7,2016-2017,89.7
Durham Region Health Department,Mumps,17,2016-2017,96.7
Durham Region Health Department,Mumps,7,2016-2017,89.6
Durham Region Health Department,Pertussis,17,2016-2017,84.5
Durham Region Health Department,Pertussis,7,2016-2017,78.6
Durham Region Health Department,Pneumo,7,2016-2017,84.4
Durham Region Health Department,Polio,17,2016-2017,96.2
Durham Region Health Department,Polio,7,2016-2017,78.6
Durham Region Health Department,Rubella,17,2016-2017,98.6
Durham Region Health Department,Rubella,7,2016-2017,97.4
Durham Region Health Department,Tetanus,17,2016-2017,84.6
Durham Region Health Department,Tetanus,7,2016-2017,78.6
Durham Region Health Department,Varicella,7,2016-2017,46.1
Durham Region Health Department,Diphtheria,17,2017-2018,84.3
Durham Region Health Department,Diphtheria,7,2017-2018,94.8
Durham Region Health Department,HPV,12,2017-2018,68.6
Durham Region Health Department,HepB,12,2017-2018,76.2
Durham Region Health Department,Hib,7,2017-2018,87.7
Durham Region Health Department,MCC,7,2017-2018,97.1
Durham Region Health Department,MCV4,12,2017-2018,90.6
Durham Region Health Department,Measles,17,2017-2018,97.8
Durham Region Health Department,Measles,7,2017-2018,95.5
Durham Region Health Department,Mumps,17,2017-2018,97.7
Durham Region Health Department,Mumps,7,2017-2018,95.5
Durham Region Health Department,Pertussis,17,2017-2018,84.2
Durham Region Health Department,Pertussis,7,2017-2018,94.8
Durham Region Health Department,Pneumo,7,2017-2018,77.2
Durham Region Health Department,Polio,17,2017-2018,96.7
Durham Region Health Department,Polio,7,2017-2018,95.2
Durham Region Health Department,Rubella,17,2017-2018,98.7
Durham Region Health Department,Rubella,7,2017-2018,97.7
Durham Region Health Department,Tetanus,17,2017-2018,84.3
Durham Region Health Department,Tetanus,7,2017-2018,94.8
Durham Region Health Department,Varicella,7,2017-2018,93.5
Durham Region Health Department,Diphtheria,17,2018-2019,87.1
Durham Region Health Department,Diphtheria,7,2018-2019,94.5
Durham Region Health Department,HPV,12,2018-2019,69.3
Durham Region Health Department,HPV,17,2018-2019,71.8
Durham Region Health Department,HepB,12,2018-2019,76.4
Durham Region Health Department,HepB,17,2018-2019,84.9
Durham Region Health Department,Hib,7,2018-2019,87.8
Durham Region Health Department,MCC,7,2018-2019,97
Durham Region Health Department,MCV4,12,2018-2019,91.6
Durham Region Health Department,MCV4,17,2018-2019,96.6
Durham Region Health Department,Measles,17,2018-2019,98
Durham Region Health Department,Measles,7,2018-2019,95.1
Durham Region Health Department,Mumps,17,2018-2019,97.9
Durham Region Health Department,Mumps,7,2018-2019,95
Durham Region Health Department,Pertussis,17,2018-2019,87
Durham Region Health Department,Pertussis,7,2018-2019,94.5
Durham Region Health Department,Pneumo,7,2018-2019,80.1
Durham Region Health Department,Polio,17,2018-2019,96.6
Durham Region Health Department,Polio,7,2018-2019,94.8
Durham Region Health Department,Rubella,17,2018-2019,98.7
Durham Region Health Department,Rubella,7,2018-2019,97.6
Durham Region Health Department,Tetanus,17,2018-2019,87.1
Durham Region Health Department,Tetanus,7,2018-2019,94.5
Durham Region Health Department,Varicella,7,2018-2019,94.1
Durham Region Health Department,Diphtheria,17,2019-2020,85.4
Durham Region Health Department,Diphtheria,7,2019-2020,92.7
Durham Region Health Department,HPV,12,2019-2020,48.7
Durham Region Health Department,HPV,17,2019-2020,73.4
Durham Region Health Department,HepB,12,2019-2020,55.7
Durham Region Health Department,HepB,17,2019-2020,84.8
Durham Region Health Department,Hib,7,2019-2020,88.4
Durham Region Health Department,MCC,7,2019-2020,97.2
Durham Region Health Department,MCV4,12,2019-2020,95
Durham Region Health Department,MCV4,17,2019-2020,96.4
Durham Region Health Department,Measles,17,2019-2020,97.9
Durham Region Health Department,Measles,7,2019-2020,93.4
Durham Region Health Department,Mumps,17,2019-2020,97.9
Durham Region Health Department,Mumps,7,2019-2020,93.3
Durham Region Health Department,Pertussis,17,2019-2020,85.5
Durham Region Health Department,Pertussis,7,2019-2020,92.7
Durham Region Health Department,Pneumo,7,2019-2020,82.5
Durham Region Health Department,Polio,17,2019-2020,96.4
Durham Region Health Department,Polio,7,2019-2020,93
Durham Region Health Department,Rota,7,2019-2020,76
Durham Region Health Department,Rubella,17,2019-2020,98.7
Durham Region Health Department,Rubella,7,2019-2020,97.8
Durham Region Health Department,Tetanus,17,2019-2020,85.4
Durham Region Health Department,Tetanus,7,2019-2020,92.7
Durham Region Health Department,Varicella,7,2019-2020,91.6
Durham Region Health Department,Diphtheria,17,2020-2021,76.1
Durham Region Health Department,Diphtheria,7,2020-2021,85.2
Durham Region Health Department,HPV,12,2020-2021,33
Durham Region Health Department,HPV,17,2020-2021,74.7
Durham Region Health Department,HepB,12,2020-2021,42.5
Durham Region Health Department,HepB,17,2020-2021,85.7
Durham Region Health Department,Hib,7,2020-2021,90.2
Durham Region Health Department,MCC,7,2020-2021,97
Durham Region Health Department,MCV4,12,2020-2021,88
Durham Region Health Department,MCV4,17,2020-2021,95.5
Durham Region Health Department,Measles,17,2020-2021,97.5
Durham Region Health Department,Measles,7,2020-2021,85.1
Durham Region Health Department,Mumps,17,2020-2021,97.4
Durham Region Health Department,Mumps,7,2020-2021,85
Durham Region Health Department,Pertussis,17,2020-2021,76.6
Durham Region Health Department,Pertussis,7,2020-2021,85.2
Durham Region Health Department,Pneumo,7,2020-2021,84.9
Durham Region Health Department,Polio,17,2020-2021,95.8
Durham Region Health Department,Polio,7,2020-2021,85.2
Durham Region Health Department,Rota,7,2020-2021,80.3
Durham Region Health Department,Rubella,17,2020-2021,98.4
Durham Region Health Department,Rubella,7,2020-2021,97.6
Durham Region Health Department,Tetanus,17,2020-2021,76.2
Durham Region Health Department,Tetanus,7,2020-2021,85.2
Durham Region Health Department,Varicella,7,2020-2021,82.1
Durham Region Health Department,Diphtheria,17,2021-2022,66.7
Durham Region Health Department,Diphtheria,7,2021-2022,72.8
Durham Region Health Department,HPV,12,2021-2022,64.1
Durham Region Health Department,HPV,17,2021-2022,77.7
Durham Region Health Department,HepB,12,2021-2022,69.7
Durham Region Health Department,HepB,17,2021-2022,85.5
Durham Region Health Department,Hib,7,2021-2022,89.3
Durham Region Health Department,MCC,7,2021-2022,95.5
Durham Region Health Department,MCV4,12,2021-2022,92
Durham Region Health Department,MCV4,17,2021-2022,95.4
Durham Region Health Department,Measles,17,2021-2022,97
Durham Region Health Department,Measles,7,2021-2022,72.7
Durham Region Health Department,Mumps,17,2021-2022,97
Durham Region Health Department,Mumps,7,2021-2022,72.4
Durham Region Health Department,Pertussis,17,2021-2022,67.5
Durham Region Health Department,Pertussis,7,2021-2022,72.7
Durham Region Health Department,Pneumo,7,2021-2022,86.7
Durham Region Health Department,Polio,17,2021-2022,95.6
Durham Region Health Department,Polio,7,2021-2022,73
Durham Region Health Department,Rota,7,2021-2022,81.6
Durham Region Health Department,Rubella,17,2021-2022,98
Durham Region Health Department,Rubella,7,2021-2022,96.7
Durham Region Health Department,Tetanus,17,2021-2022,66.7
Durham Region Health Department,Tetanus,7,2021-2022,72.8
Durham Region Health Department,Varicella,7,2021-2022,70.3
Durham Region Health Department,Diphtheria,17,2022-2023,56.4
Durham Region Health Department,Diphtheria,7,2022-2023,80.9
Durham Region Health Department,HPV,12,2022-2023,73.1
Durham Region Health Department,HPV,17,2022-2023,78.1
Durham Region Health Department,HepB,12,2022-2023,79.5
Durham Region Health Department,HepB,17,2022-2023,84.7
Durham Region Health Department,Hib,7,2022-2023,88.7
Durham Region Health Department,MCC,7,2022-2023,94
Durham Region Health Department,MCV4,12,2022-2023,93.4
Durham Region Health Department,MCV4,17,2022-2023,94.3
Durham Region Health Department,Measles,17,2022-2023,95.9
Durham Region Health Department,Measles,7,2022-2023,81.3
Durham Region Health Department,Mumps,17,2022-2023,95.8
Durham Region Health Department,Mumps,7,2022-2023,81.2
Durham Region Health Department,Pertussis,17,2022-2023,56.9
Durham Region Health Department,Pertussis,7,2022-2023,80.9
Durham Region Health Department,Pneumo,7,2022-2023,86.1
Durham Region Health Department,Polio,17,2022-2023,94.2
Durham Region Health Department,Polio,7,2022-2023,81
Durham Region Health Department,Rota,7,2022-2023,83.5
Durham Region Health Department,Rubella,17,2022-2023,96.8
Durham Region Health Department,Rubella,7,2022-2023,96.3
Durham Region Health Department,Tetanus,17,2022-2023,56.5
Durham Region Health Department,Tetanus,7,2022-2023,80.9
Durham Region Health Department,Varicella,7,2022-2023,79.5
Durham Region Health Department,Diphtheria,17,2023-2024,71.8
Durham Region Health Department,Diphtheria,7,2023-2024,90.4
Durham Region Health Department,HPV,12,2023-2024,73.4
Durham Region Health Department,HPV,17,2023-2024,75.7
Durham Region Health Department,HepB,12,2023-2024,79.6
Durham Region Health Department,HepB,17,2023-2024,82.8
Durham Region Health Department,Hib,7,2023-2024,85
Durham Region Health Department,MCC,7,2023-2024,94.7
Durham Region Health Department,MCV4,12,2023-2024,88.5
Durham Region Health Department,MCV4,17,2023-2024,94.8
Durham Region Health Department,Measles,17,2023-2024,95.6
Durham Region Health Department,Measles,7,2023-2024,91
Durham Region Health Department,Mumps,17,2023-2024,95.4
Durham Region Health Department,Mumps,7,2023-2024,90.7
Durham Region Health Department,Pertussis,17,2023-2024,72.5
Durham Region Health Department,Pertussis,7,2023-2024,90.3
Durham Region Health Department,Pneumo,7,2023-2024,83.5
Durham Region Health Department,Polio,17,2023-2024,93.6
Durham Region Health Department,Polio,7,2023-2024,88.9
Durham Region Health Department,Rota,7,2023-2024,80.8
Durham Region Health Department,Rubella,17,2023-2024,97
Durham Region Health Department,Rubella,7,2023-2024,96.1
Durham Region Health Department,Tetanus,17,2023-2024,71.8
Durham Region Health Department,Tetanus,7,2023-2024,90.5
Durham Region Health Department,Varicella,7,2023-2024,89.3
Durham Region Health Department,Diphtheria,17,2024-2025,73.6
Durham Region Health Department,Diphtheria,7,2024-2025,88.4
Durham Region Health Department,HPV,12,2024-2025,61.5
Durham Region Health Department,HPV,17,2024-2025,46.9
Durham Region Health Department,HepB,12,2024-2025,69.1
Durham Region Health Department,HepB,17,2024-2025,55.2
Durham Region Health Department,Hib,7,2024-2025,82
Durham Region Health Department,MCC,7,2024-2025,94.5
Durham Region Health Department,MCV4,12,2024-2025,84.7
Durham Region Health Department,MCV4,17,2024-2025,93.2
Durham Region Health Department,Measles,17,2024-2025,94.7
Durham Region Health Department,Measles,7,2024-2025,89.3
Durham Region Health Department,Mumps,17,2024-2025,94.5
Durham Region Health Department,Mumps,7,2024-2025,88.8
Durham Region Health Department,Pertussis,17,2024-2025,73.7
Durham Region Health Department,Pertussis,7,2024-2025,88.4
Durham Region Health Department,Pneumo,7,2024-2025,81.5
Durham Region Health Department,Polio,17,2024-2025,93.1
Durham Region Health Department,Polio,7,2024-2025,87.5
Durham Region Health Department,Rota,7,2024-2025,79.8
Durham Region Health Department,Rubella,17,2024-2025,96.4
Durham Region Health Department,Rubella,7,2024-2025,95.2
Durham Region Health Department,Tetanus,17,2024-2025,73.6
Durham Region Health Department,Tetanus,7,2024-2025,88.4
Durham Region Health Department,Varicella,7,2024-2025,87.8
Grey Bruce Health Unit,Diphtheria,17,2015-2016,89.4
Grey Bruce Health Unit,Diphtheria,7,2015-2016,95.2
Grey Bruce Health Unit,HepB,12,2015-2016,80.1
Grey Bruce Health Unit,Hib,7,2015-2016,91.3
Grey Bruce Health Unit,MCC,7,2015-2016,95.7
Grey Bruce Health Unit,MCV4,12,2015-2016,93.3
Grey Bruce Health Unit,Measles,17,2015-2016,95.4
Grey Bruce Health Unit,Measles,7,2015-2016,96.1
Grey Bruce Health Unit,Mumps,17,2015-2016,95.4
Grey Bruce Health Unit,Mumps,7,2015-2016,96.1
Grey Bruce Health Unit,Pertussis,17,2015-2016,89
Grey Bruce Health Unit,Pertussis,7,2015-2016,95.2
Grey Bruce Health Unit,Pneumo,7,2015-2016,88.2
Grey Bruce Health Unit,Polio,17,2015-2016,95.1
Grey Bruce Health Unit,Polio,7,2015-2016,95.5
Grey Bruce Health Unit,Rubella,17,2015-2016,96.6
Grey Bruce Health Unit,Rubella,7,2015-2016,97.6
Grey Bruce Health Unit,Tetanus,17,2015-2016,89.4
Grey Bruce Health Unit,Tetanus,7,2015-2016,95.2
Grey Bruce Health Unit,Varicella,7,2015-2016,65.5
Grey Bruce Health Unit,Diphtheria,17,2016-2017,88.3
Grey Bruce Health Unit,Diphtheria,7,2016-2017,94.6
Grey Bruce Health Unit,HPV,12,2016-2017,60.9
Grey Bruce Health Unit,HepB,12,2016-2017,71.3
Grey Bruce Health Unit,Hib,7,2016-2017,88.8
Grey Bruce Health Unit,MCC,7,2016-2017,95.8
Grey Bruce Health Unit,MCV4,12,2016-2017,91.6
Grey Bruce Health Unit,Measles,17,2016-2017,95.6
Grey Bruce Health Unit,Measles,7,2016-2017,95.3
Grey Bruce Health Unit,Mumps,17,2016-2017,95.6
Grey Bruce Health Unit,Mumps,7,2016-2017,95.3
Grey Bruce Health Unit,Pertussis,17,2016-2017,88.4
Grey Bruce Health Unit,Pertussis,7,2016-2017,94.5
Grey Bruce Health Unit,Pneumo,7,2016-2017,85.6
Grey Bruce Health Unit,Polio,17,2016-2017,95.1
Grey Bruce Health Unit,Polio,7,2016-2017,95.3
Grey Bruce Health Unit,Rubella,17,2016-2017,96.9
Grey Bruce Health Unit,Rubella,7,2016-2017,97
Grey Bruce Health Unit,Tetanus,17,2016-2017,88.3
Grey Bruce Health Unit,Tetanus,7,2016-2017,94.6
Grey Bruce Health Unit,Varicella,7,2016-2017,67.1
Grey Bruce Health Unit,Diphtheria,17,2017-2018,86.9
Grey Bruce Health Unit,Diphtheria,7,2017-2018,94.8
Grey Bruce Health Unit,HPV,12,2017-2018,64.2
Grey Bruce Health Unit,HepB,12,2017-2018,74.8
Grey Bruce Health Unit,Hib,7,2017-2018,90.8
Grey Bruce Health Unit,MCC,7,2017-2018,95.5
Grey Bruce Health Unit,MCV4,12,2017-2018,92.2
Grey Bruce Health Unit,Measles,17,2017-2018,94
Grey Bruce Health Unit,Measles,7,2017-2018,94.5
Grey Bruce Health Unit,Mumps,17,2017-2018,94
Grey Bruce Health Unit,Mumps,7,2017-2018,94.5
Grey Bruce Health Unit,Pertussis,17,2017-2018,86.9
